"Object Label","Object Name","Field Label","Field Name","Namespace","Custom","Type","Calculated","Number of Rows","Number of Rows Populated","Percentage of Rows Populated"
"Account","Account","Preserve Bundle Structure","SBQQ__PreserveBundle__c","SBQQ",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Price Hold End","SBQQ__PriceHoldEnd__c","SBQQ",True,"date",False,1021033,0,0.0
"Account","Account","Renewal Model","SBQQ__RenewalModel__c","SBQQ",True,"picklist",False,1021033,973766,95.37066872471311
"Account","Account","Renewal Pricing Method","SBQQ__RenewalPricingMethod__c","SBQQ",True,"picklist",False,1021033,981854,96.16280766635359
"Account","Account","Tax-Exempt","SBQQ__TaxExempt__c","SBQQ",True,"picklist",False,1021033,981844,96.16182826607955
"Account","Account","Co-Termination Event","SBQQ__CoTerminationEvent__c","SBQQ",True,"picklist",False,1021033,203,0.01988182556293479
"Account","Account","Transition to CSM - Grants","Transition_to_CSM_Grants__c","",True,"date",False,1021033,0,0.0
"Account","Account","BOFC ACC Name","bofc__BOFC_ACC_Name__c","bofc",True,"string",True,1021033,1021033,100.0
"Account","Account","Account Rating - Grants","Account_Rating_Grants_ec__c","",True,"picklist",False,1021033,2256,0.220952701822566
"Account","Account","Account Rating – Payments","Account_Rating_Payments__c","",True,"picklist",False,1021033,175,0.017139504795633444
"Account","Account","Account Rating - Procurement","Account_Rating_bf__c","",True,"picklist",False,1021033,6725,0.6586466842893423
